card_id,card_name,card_type,rarity,base_weight,min_wave,max_wave,target_attr,effect_value,duration_wave,target_weapon,upgrade_attr,negative_attr,negative_value,hero_affinity,build_tags,prerequisite
weapon_blade_01,Orbit Blade,new_weapon,rare,45,1,,,1.00,,blade,,,,ranger:1.2;warrior:1.1;default:0.9,blade;melee;speed,
weapon_hammer_01,Thunder Hammer,new_weapon,rare,38,1,,,1.00,,hammer,,,,guardian:1.3;warrior:1.2;default:0.8,hammer;control,
weapon_bow_01,Storm Bow,new_weapon,rare,42,1,,,1.00,,bow,,,,ranger:1.5;assassin:1.1;default:0.8,bow;range;crit,
weapon_dagger_01,Shadow Dagger,new_weapon,rare,40,1,,,1.00,,dagger,,,,assassin:1.5;ranger:1.2;default:0.8,dagger;crit;speed,
weapon_cannon_01,Flame Cannon,new_weapon,rare,35,5,,,1.00,,cannon,,,,engineer:1.3;summoner:1.1;default:0.8,cannon;aoe;fire,
weapon_orb_01,Frost Orb,new_weapon,rare,42,3,,,1.00,,orb,,,,mage:1.2;archmage:1.3;default:0.9,orb;magic;control,
weapon_drone_01,Auto Drone,new_weapon,rare,45,1,,,1.00,,drone,,,,engineer:1.5;summoner:1.4;default:0.8,drone;summon;support,
weapon_lance_01,Solar Lance,new_weapon,epic,22,12,,,1.00,,lance,,,,archmage:1.2;ranger:1.2;oracle:1.1;default:0.7,lance;range,
weapon_grimoire_01,Void Grimoire,new_weapon,epic,18,20,,,1.00,,grimoire,,,,archmage:1.5;mage:1.2;default:0.6,grimoire;magic;risk_damage,
weapon_shield_01,Aegis Shield,new_weapon,rare,38,1,,,1.00,,shield,,,,guardian:1.5;warrior:1.2;default:0.8,shield;defense;sustain,
upgrade_staff_damage_01,Staff Damage I,weapon_upgrade,common,85,2,,,0.10,,staff,damage,,,mage:1.3;archmage:1.4;default:1.0,staff;damage,has_weapon:staff
upgrade_staff_damage_02,Staff Damage II,weapon_upgrade,uncommon,55,12,,,0.18,,staff,damage,,,mage:1.3;archmage:1.5;default:0.9,staff;damage,has_weapon:staff
upgrade_staff_range_01,Staff Range,weapon_upgrade,uncommon,60,3,,,0.12,,staff,range,,,mage:1.2;archmage:1.4;default:1.0,staff;aoe,has_weapon:staff
upgrade_blade_frequency_01,Blade Frequency I,weapon_upgrade,uncommon,65,3,,,0.10,,blade,frequency,,,ranger:1.2;assassin:1.1;default:1.0,blade;speed,has_weapon:blade
upgrade_blade_count_01,Blade Count,weapon_upgrade,rare,38,14,,,0.16,,blade,attack_count,,,ranger:1.2;assassin:1.2;default:0.9,blade;speed,has_weapon:blade
upgrade_bow_crit_01,Bow Precision,weapon_upgrade,uncommon,60,5,,,0.14,,bow,frequency,,,ranger:1.4;assassin:1.1;default:0.9,bow;crit,has_weapon:bow
upgrade_dagger_speed_01,Dagger Flurry,weapon_upgrade,rare,45,10,,,0.18,,dagger,frequency,,,assassin:1.5;default:0.8,dagger;crit;speed,has_weapon:dagger
upgrade_cannon_range_01,Cannon Blast Radius,weapon_upgrade,uncommon,55,8,,,0.16,,cannon,range,,,engineer:1.3;summoner:1.1;default:0.9,cannon;aoe,has_weapon:cannon
upgrade_orb_control_01,Orb Freeze Field,weapon_upgrade,uncommon,55,8,,,0.14,,orb,range,,,mage:1.2;archmage:1.2;default:0.9,orb;control,has_weapon:orb
upgrade_drone_count_01,Drone Swarm,weapon_upgrade,rare,42,12,,,0.18,,drone,attack_count,,,engineer:1.5;summoner:1.4;default:0.8,drone;summon,has_weapon:drone
upgrade_lance_overload_01,Lance Overload,weapon_upgrade,epic,20,22,,,0.30,,lance,damage,,,archmage:1.3;ranger:1.2;default:0.6,lance;range,has_weapon:lance
upgrade_grimoire_void_01,Void Cascade,weapon_upgrade,epic,16,28,,,0.36,,grimoire,damage,,,archmage:1.6;mage:1.2;default:0.5,grimoire;risk_damage;overpowered,has_weapon:grimoire
affix_glass_power_01,Glass Power,global_affix,epic,25,35,,power,0.30,,,,defense,-0.20,mage:1.2;ranger:1.1;assassin:1.1;default:0.8,risk_damage,
affix_blood_pact_01,Blood Pact,global_affix,epic,22,35,,power,0.26,,,,hp,-0.18,berserker:1.4;assassin:1.1;default:0.8,risk_damage;sustain,
affix_golden_fate_01,Golden Fate,global_affix,legendary,12,40,,luck,0.45,,,,defense,-0.12,oracle:1.5;alchemist:1.4;default:0.7,luck,
affix_void_bargain_01,Void Bargain,global_affix,legendary,10,42,,power,0.55,,,,survival_factor,-0.22,archmage:1.5;mage:1.2;default:0.5,risk_damage;overpowered,
